Title,Artist,Album Cover URL,Slug,Song Link
Smile,Lily Allen,https://i.scdn.co/image/ab67616d0000b27327ff5787bb1d875c3199ba62,smile,https://open.spotify.com/track/79z9QkhHePTFsSeVw9uyj0
Drama (feat. Drake),"Roy Woods, Drake",https://i.scdn.co/image/ab67616d0000b2731b6c184bddb35dac93822101,drama-feat-drake,https://open.spotify.com/track/0XO2hckt5aHvvwH7FFdVYF
Compensating (feat. Young Thug),"Aminé, Young Thug",https://i.scdn.co/image/ab67616d0000b273ea9bbdf9f1433e68c7dffbad,compensating-feat-young-thug,https://open.spotify.com/track/61KoN6PlBhQD7sivCcf0hA
Mrs. Officer,"Lil Wayne, Bobby V., Kidd Kidd",https://i.scdn.co/image/ab67616d0000b27333ebdffaa447ff19ce9f24bb,mrs-officer,https://open.spotify.com/track/0EHR9OObFtjlhQB8wSt1m7
Toronto 2014 (with Mustafa),"Daniel Caesar, Mustafa",https://i.scdn.co/image/ab67616d0000b2737c68face1dc58127f3a7b1cc,toronto-2014-with-mustafa,https://open.spotify.com/track/4t9R5rbtovdvya28uMODDz
Sienna,The Marías,https://i.scdn.co/image/ab67616d0000b2738aa339341a0b0c813909c831,sienna,https://open.spotify.com/track/0InIeZW4P6VO7dUGRM4AKH
Wet Dreamz,J. Cole,https://i.scdn.co/image/ab67616d0000b273c6e0948bbb0681ff29cdbae8,wet-dreamz,https://open.spotify.com/track/4tqcoej1zPvwePZCzuAjJd
EARFQUAKE,"Tyler, The Creator",https://i.scdn.co/image/ab67616d0000b27330a635de2bb0caa4e26f6abb,earfquake,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0
Paradise,Sade,https://i.scdn.co/image/ab67616d0000b2735e25e034e25258b356774c79,paradise,https://open.spotify.com/track/4tReFKumS5bcFahdXDiM1b
All Falls Down,"Kanye West, Syleena Johnson",https://i.scdn.co/image/ab67616d0000b27325b055377757b3cdd6f26b78,all-falls-down,https://open.spotify.com/track/5SkRLpaGtvYPhw02vZhQQ9
Sweet Boy,Malcolm Todd,https://i.scdn.co/image/ab67616d0000b2732c1f34ecc1929fb59908aad1,sweet-boy,https://open.spotify.com/track/59c2xv2kMzYM6HR9oY6BIa
Nangs,Tame Impala,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79,nangs,https://open.spotify.com/track/1cCbsojaA6GIT7Y3zuMJ1q
Some,Steve Lacy,https://i.scdn.co/image/ab67616d0000b2737c0c6c1cfac7464b6211587d,some,https://open.spotify.com/track/4riDfclV7kPDT9D58FpmHd
Sundress,A$AP Rocky,https://i.scdn.co/image/ab67616d0000b2731ae967e4a02c7a39eb3c189b,sundress,https://open.spotify.com/track/2aPTvyE09vUCRwVvj0I8WK
Paper Soldier (feat. Joony),"Brent Faiyaz, Joony, ISO Supremacy",https://i.scdn.co/image/ab67616d0000b27307fff1810b19ae0e35f505c0,paper-soldier-feat-joony,https://open.spotify.com/track/0ReoK9isNvJmI7nV2iJcNR
highway 95,Baby Keem,https://i.scdn.co/image/ab67616d0000b273a97160f8731efb13153b358e,highway-95,https://open.spotify.com/track/2E4INiVkDRBXXkFL4kB1Vk
Passionfruit,Drake,https://i.scdn.co/image/ab67616d0000b2734f0fd9dad63977146e685700,passionfruit,https://open.spotify.com/track/5mCPDVBb16L4XQwDdbRUpz
Half The Plot,Lil Tecca,https://i.scdn.co/image/ab67616d0000b27386c8cd0e15776fa1e18715ec,half-the-plot,https://open.spotify.com/track/3zAWhIscp6ehzXv3KHorwb
Tip Toe,HYBS,https://i.scdn.co/image/ab67616d0000b2733f58c8ae420f64a314d54781,tip-toe,https://open.spotify.com/track/0MJ5wKsPEeihONNfugHGy7
Static,Steve Lacy,https://i.scdn.co/image/ab67616d0000b2736938311000a0e494a26986e5,static,https://open.spotify.com/track/4OmfWzukSVD140NiAIEjem
Sideline Story,J. Cole,https://i.scdn.co/image/ab67616d0000b27399da48a530f6ca2ef86da3cc,sideline-story,https://open.spotify.com/track/5pIn0ZiclQOMzoFUlgDY0f
16,Baby Keem,https://i.scdn.co/image/ab67616d0000b27335a8a0c8b82b525679eceda6,16,https://open.spotify.com/track/1Is8hGpkGMiePASAxBluxM
My Everything,Bryant Barnes,https://i.scdn.co/image/ab67616d0000b27396ebd05032cab7646e8f895f,my-everything,https://open.spotify.com/track/5d9YtDcXi97VcJzMBoYI1b
I Think I'm Normal,Carter Ace,https://i.scdn.co/image/ab67616d0000b2733af26826d8639be63943d03b,i-think-i-m-normal,https://open.spotify.com/track/66IfNUx4NkU4cNzbOhLNC1
The Color Violet,Tory Lanez,https://i.scdn.co/image/ab67616d0000b2730c5f23cbf0b1ab7e37d0dc67,the-color-violet,https://open.spotify.com/track/3azJifCSqg9fRij2yKIbWz
slauson ave,Karri,https://i.scdn.co/image/ab67616d0000b2734d9f4e93372f9177f8db9fb8,slauson-ave,https://open.spotify.com/track/5JoHFViqTBsyqkrcNgI7Rl
Ivy,Frank Ocean,https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526,ivy,https://open.spotify.com/track/2ZWlPOoWh0626oTaHrnl2a
ENTROPY,Daniel Caesar,https://i.scdn.co/image/ab67616d0000b2737607aa9ae7904e1b12907c93,entropy,https://open.spotify.com/track/795p3jKj5stjPf8IFpZkdD
Do You Like Me?,Daniel Caesar,https://i.scdn.co/image/ab67616d0000b2737c68face1dc58127f3a7b1cc,do-you-like-me,https://open.spotify.com/track/4deAN7JXhdHHifxOp0TTjU
Nights,Frank Ocean,https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526,nights,https://open.spotify.com/track/7eqoqGkKwgOaWNNHx90uEZ
4EVER,Clairo,https://i.scdn.co/image/ab67616d0000b273918bb5280a0cd163a2f1e517,4ever,https://open.spotify.com/track/6Kzul7v3QxHGwV2AjLNp3X
Over the Moon,The Marías,https://i.scdn.co/image/ab67616d0000b273a64b06c0eb30ce15c3e6edc1,over-the-moon,https://open.spotify.com/track/02wNtFxlr9dLmZXKT5TIF5
Babydoll,Dominic Fike,https://i.scdn.co/image/ab67616d0000b2737b1b6f41c1645af9757d5616,babydoll,https://open.spotify.com/track/7yNf9YjeO5JXUE3JEBgnYc
Just How You Are,Leon Thomas,https://i.scdn.co/image/ab67616d0000b273632dd8d25a520d3855cb26a2,just-how-you-are,https://open.spotify.com/track/7KO0PWYRvoQMNdOZ4KHulW
Rock Your Body,Justin Timberlake,https://i.scdn.co/image/ab67616d0000b273346a5742374ab4cf9ed32dee,rock-your-body,https://open.spotify.com/track/1AWQoqb9bSvzTjaLralEkT
Borderline,Tame Impala,https://i.scdn.co/image/ab67616d0000b27358267bd34420a00d5cf83a49,borderline,https://open.spotify.com/track/5hM5arv9KDbCHS0k9uqwjr
Root of all Evil,Daniel Caesar,https://i.scdn.co/image/ab67616d0000b27347bcac7a04ff11294c50a044,root-of-all-evil,https://open.spotify.com/track/6XOwX1dEzysUrWRbJjJVta
505,Arctic Monkeys,https://i.scdn.co/image/ab67616d0000b2730c8ac83035e9588e8ad34b90,505,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS
Nice Shoes,Steve Lacy,https://i.scdn.co/image/ab67616d0000b273bd018d56ea7e6821e62df4c6,nice-shoes,https://open.spotify.com/track/26RtX0MphIh9C7ZWJEogJL
Chicago,Michael Jackson,https://i.scdn.co/image/ab67616d0000b27335f36cb686b0d5a12ab3a9f0,chicago,https://open.spotify.com/track/5BKKy9fIJL5uM9fz1SnqyP
Favour,Avenoir,https://i.scdn.co/image/ab67616d0000b273713f9d753c8b418102db1a10,favour,https://open.spotify.com/track/7lTUaX0Bs1uE9ALFsmLF8G
Hello?,"Clairo, Rejjie Snow",https://i.scdn.co/image/ab67616d0000b273b9c93163c53545df6182e7ef,hello,https://open.spotify.com/track/1KiAtMAGayStCuLCH6EJAw
Good Life,"Kanye West, T-Pain",https://i.scdn.co/image/ab67616d0000b27326f7f19c7f0381e56156c94a,good-life,https://open.spotify.com/track/4ZPdLEztrlZqbJkgHNw54L
SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),"Tyler, The Creator, Brent Faiyaz, Fana Hues",https://i.scdn.co/image/ab67616d0000b273940aa635eea98719f6ca4ad9,sweet-i-thought-you-wanted-to-dance-feat-brent-faiyaz-fana-hues,https://open.spotify.com/track/3EG9FJ0ToLfgnc1IG2Z1wz
P.Y.T. (Pretty Young Thing),Michael Jackson,https://i.scdn.co/image/ab67616d0000b27332a7d87248d1b75463483df5,p-y-t-pretty-young-thing,https://open.spotify.com/track/1CgmY8fVN7kstVDZmsdM5k
Disillusioned (with serpentwithfeet),"Daniel Caesar, serpentwithfeet",https://i.scdn.co/image/ab67616d0000b273e242f18dafe885fcf425fe1f,disillusioned-with-serpentwithfeet,https://open.spotify.com/track/4Jj48NypRej8Rld9U69Nvm
Transform (feat. Charlotte Day Wilson),"Daniel Caesar, Charlotte Day Wilson",https://i.scdn.co/image/ab67616d0000b2737aa8783ad8def37cc548a9cf,transform-feat-charlotte-day-wilson,https://open.spotify.com/track/1K6oXSGIexEyNnv2cS6vKr
11:30,Duckwrth,https://i.scdn.co/image/ab67616d0000b27356370e5b742b56e713c9899a,11-30,https://open.spotify.com/track/4wMdqBMvVKpNPpRFiBRiXO
Anything for You,Intro,https://i.scdn.co/image/ab67616d0000b273bb9a99def20a9265f3c6bb36,anything-for-you,https://open.spotify.com/track/5dpn4let6roIGt8b7XUv1Q
Fake Love,Drake,https://i.scdn.co/image/ab67616d0000b2734f0fd9dad63977146e685700,fake-love,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
Which One (feat. Central Cee),"Drake, Central Cee",https://i.scdn.co/image/ab67616d0000b273bdeb7f4070ea355c2896cd99,which-one-feat-central-cee,https://open.spotify.com/track/1LVRE2ZRLNGdjCFmOa9kJa
MUTT,Leon Thomas,https://i.scdn.co/image/ab67616d0000b27382a5b97ffaf87e21ce6fdf4a,mutt,https://open.spotify.com/track/1mh9eHVRdNhzryG43PXdW1
Used to Me,Luke Chiang,https://i.scdn.co/image/ab67616d0000b273b359946ae6cfc81a288c4dbf,used-to-me,https://open.spotify.com/track/5NF5TV9zGZ9QLKLf7Oq05T
Location,Playboi Carti,https://i.scdn.co/image/ab67616d0000b273e31a279d267f3b3d8912e6f1,location,https://open.spotify.com/track/3yk7PJnryiJ8mAPqsrujzf
Taking What's Not Yours,TV Girl,https://i.scdn.co/image/ab67616d0000b27332f5fec7a879ed6ef28f0dfd,taking-what-s-not-yours,https://open.spotify.com/track/53mChDyESfwn9Dz8poHRf6
Lejos de Ti,The Marías,https://i.scdn.co/image/ab67616d0000b2738aa339341a0b0c813909c831,lejos-de-ti,https://open.spotify.com/track/0phzfJn8NeT1LkbqfV2peI
Heaven Can Wait,Michael Jackson,https://i.scdn.co/image/ab67616d0000b27376bfd700e0c47fae7f2c7b75,heaven-can-wait,https://open.spotify.com/track/1AZXNAVDD9ZFIEKySgflFz
See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",https://i.scdn.co/image/ab67616d0000b2738940ac99f49e44f59e6f7fb3,see-you-again-feat-kali-uchis,https://open.spotify.com/track/7KA4W4McWYRpgf0fWsJZWB
Alright,Kendrick Lamar,https://i.scdn.co/image/ab67616d0000b273cdb645498cd3d8a2db4d05e1,alright,https://open.spotify.com/track/3iVcZ5G6tvkXZkZKlMpIUs
Always,Daniel Caesar,https://i.scdn.co/image/ab67616d0000b2737c68face1dc58127f3a7b1cc,always,https://open.spotify.com/track/2LlOeW5rVcvl3QcPNPcDus
Unstoppable,Daniel Caesar,https://i.scdn.co/image/ab67616d0000b273e242f18dafe885fcf425fe1f,unstoppable,https://open.spotify.com/track/7tyYT0hZoSP8mwOlO5CxJi
Vampire,Dominic Fike,https://i.scdn.co/image/ab67616d0000b2738c7e2ab6558632be78a244c2,vampire,https://open.spotify.com/track/0SRPuTnr5QOKRoIxMvvlgK
Pink + White,Frank Ocean,https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526,pink-white,https://open.spotify.com/track/3xKsf9qdS1CyvXSMEid6g8
ORANGE SODA,Baby Keem,https://i.scdn.co/image/ab67616d0000b273683757f1fd40a7f7ef64bec1,orange-soda,https://open.spotify.com/track/5FkoSXiJPKTNyYgALRJFhD
When The Sun Goes Down,Arctic Monkeys,https://i.scdn.co/image/ab67616d0000b2736b3fa88bdd4af566fbbf2bbf,when-the-sun-goes-down,https://open.spotify.com/track/2zzLRQ78kKfPTx8FJQCdC2
l e t . g o . m y . h a n d (with Bas & 6LACK),"J. Cole, Bas, 6LACK",https://i.scdn.co/image/ab67616d0000b27310e6745bb2f179dd3616b85f,l-e-t-g-o-m-y-h-a-n-d-with-bas-6lack,https://open.spotify.com/track/0GAyuCo975IHGxxiLKDufB
Nice For What,Drake,https://i.scdn.co/image/ab67616d0000b273648ee7f5b11d8703447e372f,nice-for-what,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
What Are You Waiting For,d4vd,https://i.scdn.co/image/ab67616d0000b273840386a7eea3536375461e84,what-are-you-waiting-for,https://open.spotify.com/track/10bdqV0CgtHjizrW4rfqAH
No Pole,Don Toliver,https://i.scdn.co/image/ab67616d0000b273307323fa550564b0201b1d76,no-pole,https://open.spotify.com/track/0eaVIYo2zeOaGJeqZ5TwYz
BMF,SZA,https://i.scdn.co/image/ab67616d0000b27316fdde9f6b5606419ca9b7ca,bmf,https://open.spotify.com/track/3U3hFkMr0Q90pD24EkE3Pr
Righteous Minds,Joey Bada$$,https://i.scdn.co/image/ab67616d0000b273fcd3724fba954e6104e4530d,righteous-minds,https://open.spotify.com/track/7dFGkZbmm6cVlI28bfMaWE
Come Thru,Drake,https://i.scdn.co/image/ab67616d0000b273adfb5909ec66db5fbb4d06c8,come-thru,https://open.spotify.com/track/5Ggfa9cpkpfp5D6Rg0Yyw1
Can't Leave Alone (feat. Avenoir & Maz B),"Pino, Avenoir, Maz B, 86",https://i.scdn.co/image/ab67616d0000b273cfe5c69e0a4ae129fb436739,can-t-leave-alone-feat-avenoir-maz-b,https://open.spotify.com/track/3bGfuGWywg85koHG8nturm
Dark Red,Steve Lacy,https://i.scdn.co/image/ab67616d0000b2733d2dfa42f771cd458b194979,dark-red,https://open.spotify.com/track/3EaJDYHA0KnX88JvDhL9oa
Shouldn't Be,Luke Chiang,https://i.scdn.co/image/ab67616d0000b273aa92f5dcbbc1c490b8039a63,shouldn-t-be,https://open.spotify.com/track/4ttU890L3mVVLzM9u7gMvr
I Think I Left the Stove On,Hotel Ugly,https://i.scdn.co/image/ab67616d0000b273934e5b0ab5e1f73519e6b1d2,i-think-i-left-the-stove-on,https://open.spotify.com/track/34HgIvucTKJvDgzHVMaGLG
Signs,Drake,https://i.scdn.co/image/ab67616d0000b273abf8d5beaed0be5438198d50,signs,https://open.spotify.com/track/6Na5uKk5SsqZimk0hAWo8y
luther (with sza),"Kendrick Lamar, SZA",https://i.scdn.co/image/ab67616d0000b273d9985092cd88bffd97653b58,luther-with-sza,https://open.spotify.com/track/45J4avUb9Ni0bnETYaYFVJ
Infrunami,Steve Lacy,https://i.scdn.co/image/ab67616d0000b273c3545bbe806b845c2b52bc20,infrunami,https://open.spotify.com/track/0f8eRy9A0n6zXpKSHSCAEp
Let Go,Aaron May,https://i.scdn.co/image/ab67616d0000b27353c7a0c956286b6a39185af4,let-go,https://open.spotify.com/track/7cLnbmx7ZUWAwyocrKz3wL
BEST INTEREST,"Tyler, The Creator",https://i.scdn.co/image/ab67616d0000b273ab8995f18dc3dd9f34a6acd4,best-interest,https://open.spotify.com/track/3jHdKaLCkuNEkWcLVmQPCX
Give You the World,Steve Lacy,https://i.scdn.co/image/ab67616d0000b2736938311000a0e494a26986e5,give-you-the-world,https://open.spotify.com/track/0J119Oas2ox6JTTHUGZxHN
Ladders,Mac Miller,https://i.scdn.co/image/ab67616d0000b273175c577a61aa13d4fb4b6534,ladders,https://open.spotify.com/track/39NDBdU5Xkm5pCFGa5kZtI
